Channel,Category,Sub Category,Manufacturer,Brand,Revenue,Date,Units,Price,Price Tier
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,17593,11/1/2017,84,209,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,6759863,11/1/2017,57,118594,d.$100+
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,140573,11/1/2017,86,1635,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,90031,11/1/2017,8,11254,c.$50 - $100
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,8017.71,12/1/2017,95,84,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,29305447,12/1/2017,75,390739,d.$100+
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,103213992,12/1/2017,48,2150292,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,115821,12/1/2017,7,16546,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,6299986,12/1/2017,6,1049998,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,9693386,12/1/2017,22,440608,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,6536157,12/1/2017,65,100556,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,564587,12/1/2017,6,94098,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,913839,12/1/2017,89,10268,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,50703,12/1/2017,78,650,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,10332439,12/1/2017,53,194952,d.$100+
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,199627,12/1/2017,43,4642,b.$25 - $50
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,118966,12/1/2017,63,1888,a.less than $25
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,0,1/1/2018,82,0,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,5127128,1/1/2018,65,78879,c.$50 - $100
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,13733659,1/1/2018,49,280279,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,-424,1/1/2018,84,-5,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,3132009,1/1/2018,81,38667,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,5302382,1/1/2018,24,220933,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,2918099,1/1/2018,77,37897,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,216881,1/1/2018,72,3012,b.$25 - $50
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,10104,1/1/2018,38,266,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,12433,1/1/2018,96,130,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,5050109,1/1/2018,42,120241,d.$100+
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,55464,1/1/2018,9,6163,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,53422,1/1/2018,15,3561,b.$25 - $50
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,8806.5,2/1/2018,5,1761,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,8120185,2/1/2018,82,99027,c.$50 - $100
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,21073041,2/1/2018,95,221821,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,1682,2/1/2018,51,33,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,3390861,2/1/2018,34,99731,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,5572808,2/1/2018,2,2786404,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,3578263,2/1/2018,14,255590,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,238582,2/1/2018,44,5422,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,24466,2/1/2018,96,255,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,16457,2/1/2018,27,610,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,5790335,2/1/2018,70,82719,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,47073,2/1/2018,7,6725,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,75124,2/1/2018,51,1473,a.less than $25
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,0,3/1/2018,63,0,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,8198990,3/1/2018,80,102487,d.$100+
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,24168649,3/1/2018,66,366192,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,2675,3/1/2018,94,28,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,4684615,3/1/2018,61,76797,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,8060871,3/1/2018,34,237084,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,5061813,3/1/2018,52,97343,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,335238,3/1/2018,24,13968,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,17138,3/1/2018,10,1714,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,23115,3/1/2018,89,260,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,9249761,3/1/2018,55,168177,d.$100+
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,84677,3/1/2018,79,1072,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,149303,3/1/2018,51,2928,b.$25 - $50
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,0,4/1/2018,62,0,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,6361967,4/1/2018,82,77585,c.$50 - $100
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,18781937,4/1/2018,82,229048,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,1146,4/1/2018,82,14,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,3443298,4/1/2018,81,42510,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,5809558,4/1/2018,100,58096,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,3549847,4/1/2018,31,114511,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,268895,4/1/2018,40,6722,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,6622,4/1/2018,18,368,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,14714,4/1/2018,66,223,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,6031670,4/1/2018,67,90025,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,81608,4/1/2018,44,1855,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,124363,4/1/2018,3,41454,c.$50 - $100
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,7363.5,5/1/2018,74,100,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,6773304,5/1/2018,82,82601,c.$50 - $100
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,30658810,5/1/2018,83,369383,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,875,5/1/2018,80,11,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,4911075,5/1/2018,2,2455538,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,6016800,5/1/2018,16,376050,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,3657893,5/1/2018,81,45159,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,293173,5/1/2018,22,13326,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,5715,5/1/2018,90,64,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,18896,5/1/2018,79,239,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,6172040,5/1/2018,14,440860,d.$100+
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,142434,5/1/2018,17,8378,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,146576,5/1/2018,69,2124,a.less than $25
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,0,6/1/2018,67,0,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,12338043,6/1/2018,20,616902,d.$100+
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,21175874,6/1/2018,40,529397,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,-409,6/1/2018,32,-13,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,4971817,6/1/2018,20,248591,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,7106290,6/1/2018,71,100089,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,3691324,6/1/2018,92,40123,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,310079,6/1/2018,48,6460,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,2352,6/1/2018,76,31,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,15998,6/1/2018,4,4000,b.$25 - $50
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,7010687,6/1/2018,86,81520,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,117159,6/1/2018,20,5858,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,169881,6/1/2018,65,2614,b.$25 - $50
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,0,7/1/2018,40,0,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,6415385,7/1/2018,76,84413,c.$50 - $100
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,17312520,7/1/2018,0,0,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,1000,7/1/2018,7,143,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,3346821,7/1/2018,68,49218,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,5724521,7/1/2018,7,817789,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,2695901,7/1/2018,16,168494,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,213851,7/1/2018,70,3055,b.$25 - $50
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,371005,7/1/2018,79,4696,b.$25 - $50
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,11922,7/1/2018,60,199,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,5256851,7/1/2018,78,67396,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,93265,7/1/2018,19,4909,b.$25 - $50
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,119198,7/1/2018,64,1862,a.less than $25
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,0,8/1/2018,93,0,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,6635031,8/1/2018,23,288480,d.$100+
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,17704635,8/1/2018,7,2529234,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,694,8/1/2018,14,50,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,3251351,8/1/2018,32,101605,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,5339749,8/1/2018,36,148326,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,2587326,8/1/2018,90,28748,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,190266,8/1/2018,55,3459,b.$25 - $50
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,66971,8/1/2018,5,13394,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,11217,8/1/2018,83,135,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,4872930,8/1/2018,6,812155,d.$100+
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,78704,8/1/2018,4,19676,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,93568,8/1/2018,78,1200,a.less than $25
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,8478.08,9/1/2018,76,112,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,8801054,9/1/2018,14,628647,d.$100+
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,31573349,9/1/2018,10,3157335,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,0,9/1/2018,1,0,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,5026176,9/1/2018,13,386629,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,7713450,9/1/2018,99,77914,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,3813376,9/1/2018,0,0,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,334471,9/1/2018,81,4129,b.$25 - $50
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,26086,9/1/2018,12,2174,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,28449,9/1/2018,37,769,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,7845782,9/1/2018,50,156916,d.$100+
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,235745,9/1/2018,27,8731,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,123699,9/1/2018,41,3017,b.$25 - $50
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,0,10/1/2018,24,0,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,7076090,10/1/2018,100,70761,c.$50 - $100
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,21959979,10/1/2018,1,21959979,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,-375,10/1/2018,99,-4,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,3523004,10/1/2018,86,40965,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,5708400,10/1/2018,81,70474,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,2962676,10/1/2018,72,41148,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,235821,10/1/2018,31,7607,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,27800,10/1/2018,95,293,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,94131,10/1/2018,54,1743,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,5541533,10/1/2018,75,73887,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,156037,10/1/2018,84,1858,a.less than $25
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,73651,10/1/2018,68,1083,a.less than $25
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,0,11/1/2018,82,0,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,10231631,11/1/2018,35,292332,d.$100+
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,32480874,11/1/2018,22,1476403,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,71920,11/1/2018,85,846,a.less than $25
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,5015874,11/1/2018,73,68711,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL FACE,CHANEL INC,CHANEL,6190212,11/1/2018,18,343901,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL LIP,CHANEL INC,CHANEL,3523148,11/1/2018,47,74961,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL NAIL,CHANEL INC,CHANEL,279648,11/1/2018,29,9643,c.$50 - $100
PRESTIGE,MAKEUP,MAKEUP TOTAL SETS,CHANEL INC,CHANEL,530896,11/1/2018,81,6554,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL BODY,CHANEL INC,CHANEL,139152,11/1/2018,21,6626,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL FACE,CHANEL INC,CHANEL,6446262,11/1/2018,60,107438,d.$100+
PRESTIGE,SKINCARE,SKINCARE TOTAL SETS & KITS,CHANEL INC,CHANEL,167424,11/1/2018,17,9848,c.$50 - $100
PRESTIGE,SKINCARE,SKINCARE TOTAL SUN,CHANEL INC,CHANEL,83776,11/1/2018,7,11968,c.$50 - $100
MASS,FRAG MASS,WOMEN,CHANEL INC,CHANEL,8306.88,12/1/2018,91,91,a.less than $25
PRESTIGE,FRAGRANCES,MEN,CHANEL INC,CHANEL,32274189,12/1/2018,38,849321,d.$100+
PRESTIGE,FRAGRANCES,WOMEN,CHANEL INC,CHANEL,114185054,12/1/2018,64,1784141,d.$100+
PRESTIGE,MAKEUP,MAKEUP TOTAL ALL OTHER,CHANEL INC,CHANEL,115794,12/1/2018,30,3860,b.$25 - $50
PRESTIGE,MAKEUP,MAKEUP TOTAL EYE,CHANEL INC,CHANEL,6438309,12/1/2018,51,126241,d.$100+
