Customer Segment,Product Category,Region,Date,Sales
Consumer,Furniture,South,2012-01-10,10214.06
Consumer,Furniture,South,2012-01-11,14741.01
Consumer,Furniture,South,2013-01-01,557.01
Consumer,Furniture,South,2013-01-02,3049.63
Consumer,Furniture,South,2013-01-03,1367.44
Consumer,Furniture,South,2013-01-04,3176.01
Consumer,Furniture,South,2013-01-06,1241.62
Consumer,Furniture,South,2013-01-07,403.86
Consumer,Furniture,South,2013-01-08,439.45
Consumer,Furniture,South,2013-01-09,4912.13
Consumer,Furniture,South,2013-01-10,1384.62
Consumer,Furniture,South,2013-01-11,4198.21
Consumer,Furniture,South,2013-01-12,2983.03
Consumer,Furniture,West,2010-01-02,9819.63
Consumer,Furniture,West,2010-01-03,6776.86
Consumer,Furniture,West,2010-01-05,9383.44
Consumer,Furniture,West,2010-01-06,212.17
Consumer,Furniture,West,2010-01-07,6499.87
Consumer,Furniture,West,2010-01-08,7050.19
Consumer,Furniture,West,2010-01-09,668.38
Consumer,Furniture,West,2010-01-10,7705.12
Consumer,Furniture,West,2010-01-11,700.41
Consumer,Furniture,West,2010-01-12,1721.24
Consumer,Furniture,West,2011-01-01,6882.22
Consumer,Furniture,West,2011-01-03,897.87
Consumer,Furniture,West,2011-01-04,1365.63
Consumer,Furniture,West,2011-01-05,18434.11
Consumer,Furniture,West,2011-01-06,125.86
Consumer,Furniture,West,2011-01-07,5660.93
Consumer,Furniture,West,2011-01-08,284.48
Consumer,Furniture,West,2011-01-10,1047.19
Consumer,Furniture,West,2011-01-11,1775.81
Consumer,Furniture,West,2011-01-12,401.79
Consumer,Furniture,West,2012-01-01,31076.4
Consumer,Furniture,West,2012-01-02,6003.18
Consumer,Furniture,West,2012-01-03,2151.57
Consumer,Furniture,West,2012-01-05,730.27
Consumer,Furniture,West,2012-01-06,267.85
Consumer,Furniture,West,2012-01-07,5603.68
Consumer,Furniture,West,2012-01-08,8555.37
Consumer,Furniture,West,2012-01-09,190.9
Consumer,Furniture,West,2012-01-10,3464.81
Consumer,Furniture,West,2012-01-11,179.64
Consumer,Furniture,West,2012-01-12,14737.54
Consumer,Furniture,West,2013-01-02,7748.36
Consumer,Furniture,West,2013-01-03,14375.08
Consumer,Furniture,West,2013-01-04,6561.58
Consumer,Furniture,West,2013-01-06,4607.85
Consumer,Furniture,West,2013-01-07,13376.03
Consumer,Furniture,West,2013-01-08,7890.88
Consumer,Furniture,West,2013-01-09,2826.37
Consumer,Furniture,West,2013-01-10,21675.39
Consumer,Furniture,West,2013-01-11,3830.33
Consumer,Furniture,West,2013-01-12,1554.58
Consumer,Office Supplies,Central,2010-01-01,225.36
Consumer,Office Supplies,Central,2010-01-02,62.8
Consumer,Office Supplies,Central,2010-01-03,419.37
Consumer,Office Supplies,Central,2010-01-04,252.73
Consumer,Office Supplies,Central,2010-01-05,145.42
Consumer,Office Supplies,Central,2010-01-06,47.4
Consumer,Office Supplies,Central,2010-01-07,269.1
Consumer,Office Supplies,Central,2010-01-08,545.43
Consumer,Office Supplies,Central,2010-01-09,1428.34
Consumer,Office Supplies,Central,2010-01-10,1148.24
Consumer,Office Supplies,Central,2010-01-11,536.23
Consumer,Office Supplies,Central,2010-01-12,1529.73
Consumer,Office Supplies,Central,2011-01-01,202.49
Consumer,Office Supplies,Central,2011-01-02,1130.11
Consumer,Office Supplies,Central,2011-01-03,1984.98
Consumer,Office Supplies,Central,2011-01-04,786.89
Consumer,Office Supplies,Central,2011-01-05,902.38
Consumer,Office Supplies,Central,2011-01-06,364.18
Consumer,Office Supplies,Central,2011-01-07,142.84
Consumer,Office Supplies,Central,2011-01-08,1320.19
Consumer,Office Supplies,Central,2011-01-09,73.54
Consumer,Office Supplies,Central,2011-01-10,432.8
Consumer,Office Supplies,Central,2011-01-11,2027.14
Consumer,Office Supplies,Central,2011-01-12,6580.23
Consumer,Office Supplies,Central,2012-01-01,1044.67
Consumer,Office Supplies,Central,2012-01-02,2027.74
Consumer,Office Supplies,Central,2012-01-03,1073.6
Consumer,Office Supplies,Central,2012-01-04,3426.25
Consumer,Office Supplies,Central,2012-01-05,1952.11
Consumer,Office Supplies,Central,2012-01-06,15761.91
Consumer,Office Supplies,Central,2012-01-07,643.74
Consumer,Office Supplies,Central,2012-01-09,3671.82
Consumer,Office Supplies,Central,2012-01-10,1353.67
Consumer,Office Supplies,Central,2012-01-11,1096.79
Consumer,Office Supplies,Central,2012-01-12,2258.41
Consumer,Office Supplies,Central,2013-01-01,1223.12
Consumer,Office Supplies,Central,2013-01-02,306.75
Consumer,Office Supplies,Central,2013-01-03,2611.56
Consumer,Office Supplies,Central,2013-01-04,230.92
Consumer,Office Supplies,Central,2013-01-05,340.1
Consumer,Office Supplies,Central,2013-01-06,1641.12
Consumer,Office Supplies,Central,2013-01-07,878.75
Consumer,Office Supplies,Central,2013-01-08,24921.41
Consumer,Office Supplies,Central,2013-01-09,4273.43
Consumer,Office Supplies,Central,2013-01-10,6473.95
Consumer,Office Supplies,Central,2013-01-11,385.83
Consumer,Office Supplies,Central,2013-01-12,1391.94
Consumer,Office Supplies,East,2010-01-01,1112.11
Consumer,Office Supplies,East,2010-01-02,84.01
Consumer,Office Supplies,East,2010-01-04,395.12
Consumer,Office Supplies,East,2010-01-05,818.81
Consumer,Office Supplies,East,2010-01-06,3044.96
Consumer,Office Supplies,East,2010-01-07,51.64
Consumer,Office Supplies,East,2010-01-08,10655.13
Consumer,Office Supplies,East,2010-01-09,216.67
Consumer,Office Supplies,East,2010-01-10,1777.79
Consumer,Office Supplies,East,2010-01-12,2366.96
Consumer,Office Supplies,East,2011-01-01,364.33
Consumer,Office Supplies,East,2011-01-02,3864.68
Consumer,Office Supplies,East,2011-01-03,607.96
Consumer,Office Supplies,East,2011-01-04,264.02
Consumer,Office Supplies,East,2011-01-05,1238.3
Consumer,Office Supplies,East,2011-01-06,716.69
Consumer,Office Supplies,East,2011-01-07,679
Consumer,Office Supplies,East,2011-01-08,1603.43
Consumer,Office Supplies,East,2011-01-09,4558.87
Consumer,Office Supplies,East,2011-01-10,1127.21
Consumer,Office Supplies,East,2011-01-11,7383.28
Consumer,Office Supplies,East,2011-01-12,187.6
Consumer,Office Supplies,East,2012-01-01,382.79
Consumer,Office Supplies,East,2012-01-03,333.43
Consumer,Office Supplies,East,2012-01-04,131.76
Consumer,Office Supplies,East,2012-01-05,798.28
Consumer,Office Supplies,East,2012-01-06,1833.98
Consumer,Office Supplies,East,2012-01-07,80.36
Consumer,Office Supplies,East,2012-01-08,756.8
Consumer,Office Supplies,East,2012-01-09,4933.88
Consumer,Office Supplies,East,2012-01-10,3212.82
Consumer,Office Supplies,East,2012-01-11,1064.9
Consumer,Office Supplies,East,2012-01-12,7344.68
Consumer,Office Supplies,East,2013-01-01,3709.31
Consumer,Office Supplies,East,2013-01-02,40.94
Consumer,Office Supplies,East,2013-01-03,2628.62
Consumer,Office Supplies,East,2013-01-04,4807.7
Consumer,Office Supplies,East,2013-01-05,2276.78
Consumer,Office Supplies,East,2013-01-06,841.96
Consumer,Office Supplies,East,2013-01-07,1223.32
Consumer,Office Supplies,East,2013-01-08,5763.37
Consumer,Office Supplies,East,2013-01-09,4301.58
Consumer,Office Supplies,East,2013-01-10,2953.67
Consumer,Office Supplies,East,2013-01-11,5615.07
Consumer,Office Supplies,East,2013-01-12,8612.96
Consumer,Office Supplies,South,2010-01-01,1114.82
Consumer,Office Supplies,South,2010-01-02,420.18
Consumer,Office Supplies,South,2010-01-03,1370.1
Consumer,Office Supplies,South,2010-01-04,923.9
Consumer,Office Supplies,South,2010-01-05,768.23
Consumer,Office Supplies,South,2010-01-06,7708.88
Consumer,Office Supplies,South,2010-01-07,2849.07
Consumer,Office Supplies,South,2010-01-10,2316.26
Consumer,Office Supplies,South,2010-01-11,2293.1
Consumer,Office Supplies,South,2010-01-12,1779.14
Consumer,Office Supplies,South,2011-01-01,2474.62
Consumer,Office Supplies,South,2011-01-02,337.24
Consumer,Office Supplies,South,2011-01-03,425.16
Consumer,Office Supplies,South,2011-01-04,1285.34
Consumer,Office Supplies,South,2011-01-05,1851.27
Consumer,Office Supplies,South,2011-01-06,4934.72
Consumer,Office Supplies,South,2011-01-07,1840.43
Consumer,Office Supplies,South,2011-01-08,1321.83
Consumer,Office Supplies,South,2011-01-09,2240.55
Consumer,Office Supplies,South,2011-01-10,4256.42
Consumer,Office Supplies,South,2011-01-11,7998.16
Consumer,Office Supplies,South,2011-01-12,388.42
Consumer,Office Supplies,South,2012-01-01,3795.69
Consumer,Office Supplies,South,2012-01-02,1992.23
Consumer,Office Supplies,South,2012-01-03,4094.1
Consumer,Office Supplies,South,2012-01-04,420.63
Consumer,Office Supplies,South,2012-01-05,1840.53
Consumer,Office Supplies,South,2012-01-06,1991
Consumer,Office Supplies,South,2012-01-07,160.93
Consumer,Office Supplies,South,2012-01-08,2548.73
Consumer,Office Supplies,South,2012-01-09,405.77
Consumer,Office Supplies,South,2012-01-10,986.81
Consumer,Office Supplies,South,2012-01-11,2231.83
Consumer,Office Supplies,South,2012-01-12,814.85
Consumer,Office Supplies,South,2013-01-01,232.89
Consumer,Office Supplies,South,2013-01-02,296.1
Consumer,Office Supplies,South,2013-01-03,973.59
Consumer,Office Supplies,South,2013-01-04,4390.73
Consumer,Office Supplies,South,2013-01-05,2317.51
Consumer,Office Supplies,South,2013-01-06,602.59
Consumer,Office Supplies,South,2013-01-07,759.16
Consumer,Office Supplies,South,2013-01-08,4151.1
Consumer,Office Supplies,South,2013-01-09,715.86
Consumer,Office Supplies,South,2013-01-10,1108.6
Consumer,Office Supplies,South,2013-01-11,1390.9
Consumer,Office Supplies,South,2013-01-12,314.37
Consumer,Office Supplies,West,2010-01-01,535.2
Consumer,Office Supplies,West,2010-01-02,233.51
Consumer,Office Supplies,West,2010-01-03,881.32
Consumer,Office Supplies,West,2010-01-04,387.46
Consumer,Office Supplies,West,2010-01-05,1732.11
Consumer,Office Supplies,West,2010-01-06,875.35
Consumer,Office Supplies,West,2010-01-07,987.19
Consumer,Office Supplies,West,2010-01-08,399.08
Consumer,Office Supplies,West,2010-01-09,140.86
Consumer,Office Supplies,West,2010-01-10,2139.97
Consumer,Office Supplies,West,2010-01-11,3320.6
Consumer,Office Supplies,West,2010-01-12,59.95
Consumer,Office Supplies,West,2011-01-01,87.77
Consumer,Office Supplies,West,2011-01-02,73.12
Consumer,Office Supplies,West,2011-01-03,161.05
Consumer,Office Supplies,West,2011-01-04,5508.49
Consumer,Office Supplies,West,2011-01-05,3376.89
Consumer,Office Supplies,West,2011-01-06,81.4
Consumer,Office Supplies,West,2011-01-07,2117.3
Consumer,Office Supplies,West,2011-01-08,2102.51
Consumer,Office Supplies,West,2011-01-09,715.86
Consumer,Office Supplies,West,2011-01-10,2261.39
Consumer,Office Supplies,West,2011-01-11,12744.25
Consumer,Office Supplies,West,2011-01-12,672.6
Consumer,Office Supplies,West,2012-01-01,4018.31
Consumer,Office Supplies,West,2012-01-02,759.55
Consumer,Office Supplies,West,2012-01-03,166.98
Consumer,Office Supplies,West,2012-01-04,3097.28
Consumer,Office Supplies,West,2012-01-05,806.31
Consumer,Office Supplies,West,2012-01-06,4390.66
Consumer,Office Supplies,West,2012-01-07,687.11
Consumer,Office Supplies,West,2012-01-08,367.32
Consumer,Office Supplies,West,2012-01-09,1235.74
Consumer,Office Supplies,West,2012-01-10,879.46
Consumer,Office Supplies,West,2012-01-11,29163.94
Consumer,Office Supplies,West,2012-01-12,6505.09
Consumer,Office Supplies,West,2013-01-01,2682.7
Consumer,Office Supplies,West,2013-01-02,373.81
Consumer,Office Supplies,West,2013-01-03,1324.69
Consumer,Office Supplies,West,2013-01-04,2182.52
Consumer,Office Supplies,West,2013-01-05,653.37
Consumer,Office Supplies,West,2013-01-06,2752.31
Consumer,Office Supplies,West,2013-01-07,790.01
Consumer,Office Supplies,West,2013-01-08,3746.67
Consumer,Office Supplies,West,2013-01-09,2222.28
Consumer,Office Supplies,West,2013-01-10,14212.99
Consumer,Office Supplies,West,2013-01-11,1155.72
Consumer,Office Supplies,West,2013-01-12,279.49
Consumer,Technology,Central,2010-01-01,1345.52
Consumer,Technology,Central,2010-01-02,4180.6
Consumer,Technology,Central,2010-01-03,1497.22
Consumer,Technology,Central,2010-01-04,1042.54
Consumer,Technology,Central,2010-01-07,3855.28
Consumer,Technology,Central,2010-01-08,1197.82
Consumer,Technology,Central,2010-01-10,296.76
Consumer,Technology,Central,2010-01-11,287.99
Consumer,Technology,Central,2010-01-12,1847.4
Consumer,Technology,Central,2011-01-02,1412.19
Consumer,Technology,Central,2011-01-04,1209.49
Consumer,Technology,Central,2011-01-05,4701.36
Consumer,Technology,Central,2011-01-06,6141.23
Consumer,Technology,Central,2011-01-08,696.04
Consumer,Technology,Central,2011-01-09,4431.34
Consumer,Technology,Central,2011-01-10,4134.87
Consumer,Technology,Central,2011-01-11,12468.04
Consumer,Technology,Central,2011-01-12,215.42
Consumer,Technology,Central,2012-01-01,8116.6
Consumer,Technology,Central,2012-01-02,512.23
Consumer,Technology,Central,2012-01-04,2056.21
Consumer,Technology,Central,2012-01-05,1782.15
Consumer,Technology,Central,2012-01-06,1625.94
Consumer,Technology,Central,2012-01-07,570.01
Consumer,Technology,Central,2012-01-08,246.78
Consumer,Technology,Central,2012-01-09,2839.99
Consumer,Technology,Central,2012-01-10,952.9
Consumer,Technology,Central,2012-01-11,13444.85
Consumer,Technology,Central,2012-01-12,1272.16
Consumer,Technology,Central,2013-01-01,545.67
Consumer,Technology,Central,2013-01-02,768.28
Consumer,Technology,Central,2013-01-03,1123.24
Consumer,Technology,Central,2013-01-04,750.55
Consumer,Technology,Central,2013-01-05,2630.83
Consumer,Technology,Central,2013-01-06,1066.81
Consumer,Technology,Central,2013-01-07,3544.54
Consumer,Technology,Central,2013-01-08,9555.44
Consumer,Technology,Central,2013-01-09,14974.17
Consumer,Technology,Central,2013-01-10,2013.34
Consumer,Technology,Central,2013-01-11,1725.8
Consumer,Technology,Central,2013-01-12,3747.72
Consumer,Technology,East,2010-01-01,659.48
Consumer,Technology,East,2010-01-02,179.51
Consumer,Technology,East,2010-01-03,514.42
Consumer,Technology,East,2010-01-04,657.5
Consumer,Technology,East,2010-01-05,98.77
Consumer,Technology,East,2010-01-06,3010.38
Consumer,Technology,East,2010-01-07,173.32
Consumer,Technology,East,2010-01-08,1013.84
Consumer,Technology,East,2010-01-10,2624.76
Consumer,Technology,East,2010-01-12,36148.78
Consumer,Technology,East,2011-01-01,3239.71
Consumer,Technology,East,2011-01-02,418.14
Consumer,Technology,East,2011-01-03,2563.38
Consumer,Technology,East,2011-01-04,2787.23
Consumer,Technology,East,2011-01-05,846.04
Consumer,Technology,East,2011-01-06,1478.93
Consumer,Technology,East,2011-01-07,196.9
Consumer,Technology,East,2011-01-08,805.14
Consumer,Technology,East,2011-01-09,274.01
Consumer,Technology,East,2011-01-10,13902.44
Consumer,Technology,East,2011-01-11,48941.13
Consumer,Technology,East,2011-01-12,1102.45
Consumer,Technology,East,2012-01-01,896.09
Consumer,Technology,East,2012-01-02,32.54
Consumer,Technology,East,2012-01-04,8308.84
Consumer,Technology,East,2012-01-05,1985.07
Consumer,Technology,East,2012-01-06,5100.05
Consumer,Technology,East,2012-01-07,730.81
Consumer,Technology,East,2012-01-08,2417.56
Consumer,Technology,East,2012-01-10,1931
Consumer,Technology,East,2012-01-11,1573.31
Consumer,Technology,East,2012-01-12,4421.18
Consumer,Technology,East,2013-01-02,9417.88
Consumer,Technology,East,2013-01-03,408.87
Consumer,Technology,East,2013-01-04,1206.41
Consumer,Technology,East,2013-01-05,1931.05
Consumer,Technology,East,2013-01-06,1479.94
Consumer,Technology,East,2013-01-07,3914.36
Consumer,Technology,East,2013-01-08,84.68
Consumer,Technology,East,2013-01-09,1800.55
Consumer,Technology,East,2013-01-10,13872.76
Consumer,Technology,East,2013-01-11,2390.95
Consumer,Technology,East,2013-01-12,1941.74
Consumer,Technology,South,2010-01-01,2826.97
Consumer,Technology,South,2010-01-02,4474.42
Consumer,Technology,South,2010-01-03,21883.33
Consumer,Technology,South,2010-01-04,1002.56
Consumer,Technology,South,2010-01-05,122.93
Consumer,Technology,South,2010-01-07,12804.14
Consumer,Technology,South,2010-01-08,391.4
Consumer,Technology,South,2010-01-09,1158.55
Consumer,Technology,South,2010-01-10,3920.3
Consumer,Technology,South,2010-01-11,615.49
Consumer,Technology,South,2010-01-12,1569
Consumer,Technology,South,2011-01-01,4510.17
Consumer,Technology,South,2011-01-03,851.36
Consumer,Technology,South,2011-01-05,170.49
Consumer,Technology,South,2011-01-06,549.05
Consumer,Technology,South,2011-01-08,964.22
Consumer,Technology,South,2011-01-09,4511.81
Consumer,Technology,South,2011-01-10,665.21
Consumer,Technology,South,2011-01-11,11340.54
Consumer,Technology,South,2011-01-12,223.6
Consumer,Technology,South,2012-01-01,410.23
Consumer,Technology,South,2012-01-02,3891.71
Consumer,Technology,South,2012-01-03,737.47
Consumer,Technology,South,2012-01-04,3613.13
Consumer,Technology,South,2012-01-05,68.1
Consumer,Technology,South,2012-01-06,5939.43
Consumer,Technology,South,2012-01-07,2725.47
Consumer,Technology,South,2012-01-08,728.89
Consumer,Technology,South,2012-01-09,6812.82
Consumer,Technology,South,2012-01-10,2367.39
Consumer,Technology,South,2012-01-11,566.79
Consumer,Technology,South,2012-01-12,1533.35
Consumer,Technology,South,2013-01-02,3277.98
Consumer,Technology,South,2013-01-03,1744.3
Consumer,Technology,South,2013-01-04,1899.01
Consumer,Technology,South,2013-01-05,9811.12
Consumer,Technology,South,2013-01-06,2164.18
Consumer,Technology,South,2013-01-07,3496.4
Consumer,Technology,South,2013-01-08,3955.5
Consumer,Technology,South,2013-01-09,3554.86
Consumer,Technology,South,2013-01-10,13685.53
Consumer,Technology,South,2013-01-11,3291.04
Consumer,Technology,South,2013-01-12,277.11
Consumer,Technology,West,2010-01-02,7570.58
Consumer,Technology,West,2010-01-03,7363.96
Consumer,Technology,West,2010-01-04,4709.27
Consumer,Technology,West,2010-01-05,7734.21
Consumer,Technology,West,2010-01-06,1277.49
Consumer,Technology,West,2010-01-07,3609.03
Consumer,Technology,West,2010-01-08,9136.95
Consumer,Technology,West,2010-01-09,697.34
Consumer,Technology,West,2010-01-10,812.11
Consumer,Technology,West,2010-01-11,893.15
Consumer,Technology,West,2010-01-12,12424.05
Consumer,Technology,West,2011-01-02,220.55
Consumer,Technology,West,2011-01-03,484.74
Consumer,Technology,West,2011-01-04,185.46
Consumer,Technology,West,2011-01-05,4671.83
Consumer,Technology,West,2011-01-06,2016.63
Consumer,Technology,West,2011-01-08,1001.28
Consumer,Technology,West,2011-01-09,14011.33
Consumer,Technology,West,2011-01-10,5789.45
Consumer,Technology,West,2011-01-11,4140.76
Consumer,Technology,West,2011-01-12,2015.39
Consumer,Technology,West,2012-01-01,10943.09
Consumer,Technology,West,2012-01-02,151.78
Consumer,Technology,West,2012-01-03,110.45
Consumer,Technology,West,2012-01-04,28.11
Consumer,Technology,West,2012-01-05,7698.23
Consumer,Technology,West,2012-01-07,19599.62
Consumer,Technology,West,2012-01-08,1539.6
Consumer,Technology,West,2012-01-09,2136.11
Consumer,Technology,West,2012-01-10,11834.98
Consumer,Technology,West,2012-01-11,13422.6
Consumer,Technology,West,2012-01-12,8811.52
Consumer,Technology,West,2013-01-01,1834.14
Consumer,Technology,West,2013-01-02,25628.86
Consumer,Technology,West,2013-01-03,8169.96
Consumer,Technology,West,2013-01-04,8654.48
Consumer,Technology,West,2013-01-05,6309.5
Consumer,Technology,West,2013-01-06,1027.13
Consumer,Technology,West,2013-01-07,2365.88
Consumer,Technology,West,2013-01-08,2869.28
Consumer,Technology,West,2013-01-09,2132.92
Consumer,Technology,West,2013-01-10,16214.87
Consumer,Technology,West,2013-01-11,7219.02
Corporate,Furniture,Central,2010-01-01,1391.42
Corporate,Furniture,Central,2010-01-02,5008.85
Corporate,Furniture,Central,2010-01-03,857.68
Corporate,Furniture,Central,2010-01-04,326.03
Corporate,Furniture,Central,2010-01-05,565.71
Corporate,Furniture,Central,2010-01-06,2300.8
Corporate,Furniture,Central,2010-01-07,431.84
Corporate,Furniture,Central,2010-01-08,8430.86
Corporate,Furniture,Central,2010-01-09,4097.37
Corporate,Furniture,Central,2010-01-10,3781.58
Corporate,Furniture,Central,2010-01-11,5319.12
Corporate,Furniture,Central,2010-01-12,11938.72
Corporate,Furniture,Central,2011-01-01,1553.63
Corporate,Furniture,Central,2011-01-02,2780.61
Corporate,Furniture,Central,2011-01-03,2739.18
Corporate,Furniture,Central,2011-01-04,5359.59
Corporate,Furniture,Central,2011-01-05,4131.39
Corporate,Furniture,Central,2011-01-06,2322.43
Corporate,Furniture,Central,2011-01-07,683.61
Corporate,Furniture,Central,2011-01-08,3320.7
Corporate,Furniture,Central,2011-01-09,42605.86
Corporate,Furniture,Central,2011-01-10,10933.96
Corporate,Furniture,Central,2011-01-11,15898.84
Corporate,Furniture,Central,2011-01-12,5848.38
Corporate,Furniture,Central,2012-01-01,6724.65
Corporate,Furniture,Central,2012-01-02,1204.3
Corporate,Furniture,Central,2012-01-03,15793.04
Corporate,Furniture,Central,2012-01-04,781.42
Corporate,Furniture,Central,2012-01-05,14088.56
Corporate,Furniture,Central,2012-01-06,1069.04
Corporate,Furniture,Central,2012-01-07,3934.67
Corporate,Furniture,Central,2012-01-08,15357.08
Corporate,Furniture,Central,2012-01-09,10843.32
Corporate,Furniture,Central,2012-01-11,2259.15
Corporate,Furniture,Central,2012-01-12,2935.91
Corporate,Furniture,Central,2013-01-01,2858.11
Corporate,Furniture,Central,2013-01-02,1487.47
Corporate,Furniture,Central,2013-01-03,2152.44
Corporate,Furniture,Central,2013-01-04,11278.84
Corporate,Furniture,Central,2013-01-05,9837.41
Corporate,Furniture,Central,2013-01-06,5642.19
Corporate,Furniture,Central,2013-01-07,10050.82
Corporate,Furniture,Central,2013-01-08,10249.16
Corporate,Furniture,Central,2013-01-09,27609.14
Corporate,Furniture,Central,2013-01-10,4642.99
Corporate,Furniture,Central,2013-01-11,11731.03
Corporate,Furniture,Central,2013-01-12,26720.13
Corporate,Furniture,East,2010-01-01,7651.41
Corporate,Furniture,East,2010-01-02,20528.83
Corporate,Furniture,East,2010-01-03,14154.41
Corporate,Furniture,East,2010-01-06,1487.9
Corporate,Furniture,East,2010-01-07,2645.52
Corporate,Furniture,East,2010-01-08,111.86
Corporate,Furniture,East,2010-01-09,283.6
